date,trades_count,total_closed_pnl,mean_closed_pnl,median_closed_pnl,profitable_trades,profitable_rate,total_volume_usd,avg_trade_size_usd,avg_execution_price,avg_fee,sentiment_value,sentiment_classification
2024-11-12,543,241104.707208,444.0234018563536,1.273475,296,0.5451197053406999,1248960.21,2300.1108839779004,5609.367846742173,0.3534288873296501,80.0,Extreme Greed
2024-12-01,5,-1925.519024,-385.1038048,0.0,0,0.0,155071.69,31014.338,37031.659999999996,7.645616799999999,81.0,Extreme Greed
2024-12-02,11,1708.5204809999998,155.32004372727272,0.0,5,0.45454545454545453,199557.24,18141.567272727272,23622.194,1.835391,80.0,Extreme Greed
2024-12-03,8,3039.166,379.89575,16.76285,7,0.875,103040.85,12880.10625,9.235375,0.618244125,76.0,Extreme Greed
2024-12-04,69,1312.464958,19.021231275362318,11.011958,46,0.6666666666666666,228681.99,3314.2317391304346,247.0076057391304,0.6099514347826087,78.0,Extreme Greed
2024-12-05,7,0.0,0.0,0.0,0,0.0,16075.880000000001,2296.554285714286,1256.9428257142858,0.8037927142857144,84.0,Extreme Greed
2024-12-06,153,-3143.078066,-20.542993895424836,0.0,20,0.13071895424836602,106416.7,695.5339869281046,2262.391668627451,0.229460908496732,72.0,Greed
2024-12-07,4,21.751275,5.43781875,0.0,1,0.25,23329.53,5832.3825,2307.631225,2.041333,75.0,Extreme Greed
2024-12-08,6,333.5,55.583333333333336,0.0,1,0.16666666666666666,14914.98,2485.83,1282.6427801666666,0.8955051666666667,79.0,Extreme Greed
2024-12-10,4,256.784177,64.19604425,61.3437085,2,0.5,73185.69,18296.4225,62888.25,6.403746750000001,78.0,Extreme Greed
2024-12-11,84,2089.566076,24.87578661904762,0.0,18,0.21428571428571427,535007.98,6369.142619047619,25341.302127976192,2.213495404761905,74.0,Greed
2024-12-12,807,328384.701663,406.9203242416357,16.881133,531,0.6579925650557621,1929178.28,2390.5554894671623,1480.1937151718712,0.22415370571251547,83.0,Extreme Greed
2025-01-01,75,-9533.459318000001,-127.11279090666667,0.0,27,0.36,275472.47,3672.9662666666663,8779.599974066667,0.40212163093333336,66.0,Greed
2025-01-02,313,18678.749159000003,59.67651488498404,2.2352,192,0.6134185303514377,829323.09,2649.594536741214,6225.70549257508,0.4722687173801917,70.0,Greed
2025-01-03,93,9816.603549,105.55487687096773,0.0,44,0.4731182795698925,177071.41,1903.9936559139785,3793.72187827957,0.1843817088172043,74.0,Greed
2025-01-04,95,2335.886796,24.58828206315789,0.0,43,0.45263157894736844,403580.47000000003,4248.215473684211,7205.896158884211,0.6366996305263158,73.0,Greed
2025-01-05,446,19231.58164,43.12013820627803,0.0,85,0.1905829596412556,699186.05,1567.6817264573992,23106.686364282512,0.19512072945807177,72.0,Greed
2025-02-01,286,5570.336773,19.476702003496502,0.0,120,0.4195804195804196,464657.43,1624.6763286713287,7726.508774629371,0.29687342744755246,68.0,Greed
2025-02-02,507,142937.84482,281.92868800788955,0.0,123,0.24260355029585798,3478681.55,6861.304832347139,7017.649573325444,0.978956889270217,60.0,Greed
2025-02-03,224,44539.591645,198.83746270089287,11.813,158,0.7053571428571429,1083050.83,4835.048348214286,6579.401053973214,0.7214223431696428,44.0,Fear
2025-02-04,256,26070.956189,101.83967261328125,2.4435,197,0.76953125,1082065.41,4226.8180078125,26031.32485446875,0.8517720073046875,72.0,Greed
2025-03-01,345,3556.398218,10.308400631884057,0.0,83,0.24057971014492754,419691.21,1216.4962608695653,3427.8911183130435,0.26154469660869567,20.0,Extreme Fear
2025-03-02,1459,192223.199934,131.74996568471556,0.0,689,0.4722412611377656,14184093.42,9721.791240575736,6322.29831224743,0.731057247148732,26.0,Fear
2025-03-03,1088,548583.0755329999,504.2123856001838,43.061232000000004,733,0.6737132352941176,6098695.71,5605.4188511029415,2070.5172427472426,0.36100350828125,33.0,Fear
2025-03-04,793,3703.573209,4.670331915510719,0.0,169,0.21311475409836064,5195081.75,6551.174968474149,7115.038227199243,0.5872461461160151,15.0,Extreme Fear
2025-04-01,286,277.353085,0.9697660314685316,0.0,49,0.17132867132867133,1725152.79,6032.002762237762,6184.332861671329,0.6724748675174825,34.0,Fear
2025-04-02,1360,213044.58983799999,156.65043370441177,0.0,244,0.17941176470588235,5251669.25,3861.521507352941,19183.623750271323,0.2963632842352941,44.0,Fear
2025-04-03,765,163209.10448,213.3452346143791,0.0,207,0.27058823529411763,4410230.67,5765.0074117647055,2719.821773254902,0.5612644353464052,25.0,Fear
2025-04-04,476,-22623.988446,-47.52938749159664,0.0,200,0.42016806722689076,1820443.73,3824.4616176470586,3189.1945195420167,0.48636144517016805,28.0,Fear
2025-05-01,159,1454.023733,9.144803352201258,0.0,56,0.3522012578616352,209629.68,1318.4256603773586,4985.54780837107,0.37237696207547166,53.0,Neutral
2025-05-02,649,30891.090251,47.59798189676425,0.0,118,0.18181818181818182,5211877.51,8030.627904468412,34230.20437156702,0.5612692586594762,67.0,Greed
2025-05-03,298,19836.110185,66.5641281375839,1.0681180000000001,165,0.5536912751677853,1448122.1300000001,4859.47023489933,6928.341720862417,0.5334042387583893,,
2025-05-04,143,10722.168539999999,74.98019958041957,1.89339,88,0.6153846153846154,430257.49,3008.7936363636363,9387.084487909091,0.41587522377622377,,
2025-06-01,385,2073.073608,5.384606774025975,0.0,37,0.09610389610389611,261581.41,679.4322337662338,4786.524543548052,0.16871452337662338,,
2025-06-02,808,-21896.114183,-27.09915121658416,0.0,205,0.2537128712871287,1025011.73,1268.5788737623761,4708.247226345297,0.22485660375,,
2025-06-03,376,6959.105957,18.50826052393617,1.57,248,0.6595744680851063,2774458.16,7378.878085106383,4671.266797829787,0.5101216189893617,,
2025-06-04,483,42998.217125,89.02322386128365,0.0,127,0.2629399585921325,1898886.59,3931.442215320911,5790.460689180124,0.35050934206004136,,
2025-07-01,504,13284.50632,26.35814746031746,6.3714414999999995,399,0.7916666666666666,768800.79,1525.3983928571429,4357.158892117064,0.24505111740079363,,
2025-07-02,1026,11865.666594,11.564977187134502,0.0,263,0.25633528265107214,2221131.11,2164.8451364522416,29654.052341078946,0.345195716705653,,
2025-07-03,645,42401.43632,65.73866096124031,0.0,302,0.4682170542635659,3746339.37,5808.278093023256,3332.233458739535,0.7608717624806202,,
2025-07-04,1653,3214.3515389999984,1.9445562849364781,0.0,433,0.2619479733817302,8014225.69,4848.291403508772,6662.000610420448,0.5844766601850574,,
2025-08-01,640,115555.02662399999,180.55472909999997,0.0,288,0.45,2021899.5699999998,3159.218078125,6887.846448751562,0.452118983078125,,
2025-08-02,491,488.119326,0.9941330468431772,0.0,96,0.1955193482688391,675337.65,1375.4330957230143,16075.633030327903,0.16779202900203663,,
2025-08-03,235,11612.820844,49.4162589106383,0.0,87,0.3702127659574468,390401.31,1661.282170212766,1897.3242202000001,0.23492361319148936,,
2025-08-04,444,11850.695257000001,26.690755083333336,0.0,139,0.3130630630630631,3347767.79,7540.017545045045,29393.928212675677,1.4325604986036036,,
